행정구역,연도,월,연령대,인구수
대전광역시,2008,4,60~69세,94937
울산광역시,2008,4,60~69세,60351
경기도,2008,4,60~69세,717706
강원도,2008,4,60~69세,150986
충청북도,2008,4,60~69세,130229
충청남도,2008,4,60~69세,185368
전라북도,2008,4,60~69세,182319
전라남도,2008,4,60~69세,220147
경상북도,2008,4,60~69세,261467
경상남도,2008,4,60~69세,253818
제주특별자치도,2008,4,60~69세,46163
서울특별시,2008,4,70~79세,367137
부산광역시,2008,4,70~79세,155655
대구광역시,2008,4,70~79세,102709
인천광역시,2008,4,70~79세,94616
광주광역시,2008,4,70~79세,51294
대전광역시,2008,4,70~79세,52099
울산광역시,2008,4,70~79세,29487
경기도,2008,4,70~79세,405506
강원도,2008,4,70~79세,92382
충청북도,2008,4,70~79세,89723
충청남도,2008,4,70~79세,142177
전라북도,2008,4,70~79세,127683
전라남도,2008,4,70~79세,159707
경상북도,2008,4,70~79세,187362
경상남도,2008,4,70~79세,172449
제주특별자치도,2008,4,70~79세,28877
서울특별시,2008,4,80~89세,113701
부산광역시,2008,4,80~89세,43600
대구광역시,2008,4,80~89세,28431
인천광역시,2008,4,80~89세,30103
광주광역시,2008,4,80~89세,16488
대전광역시,2008,4,80~89세,16650
울산광역시,2008,4,80~89세,9374
경기도,2008,4,80~89세,123612
강원도,2008,4,80~89세,30711
충청북도,2008,4,80~89세,27447
충청남도,2008,4,80~89세,42815
전라북도,2008,4,80~89세,41082
전라남도,2008,4,80~89세,49864
경상북도,2008,4,80~89세,60655
경상남도,2008,4,80~89세,52393
제주특별자치도,2008,4,80~89세,9445
서울특별시,2008,4,90~99세,14089
부산광역시,2008,4,90~99세,4106
대구광역시,2008,4,90~99세,2953
인천광역시,2008,4,90~99세,3423
광주광역시,2008,4,90~99세,2051
대전광역시,2008,4,90~99세,1981
울산광역시,2008,4,90~99세,1039
경기도,2008,4,90~99세,14394
강원도,2008,4,90~99세,3961
충청북도,2008,4,90~99세,3356
충청남도,2008,4,90~99세,5160
전라북도,2008,4,90~99세,4826
전라남도,2008,4,90~99세,5911
경상북도,2008,4,90~99세,7031
경상남도,2008,4,90~99세,4846
제주특별자치도,2008,4,90~99세,1867
