행정구역,연도,월,연령대,인구수
충청북도,2018,10,40~49세,249190
충청남도,2018,10,40~49세,331886
전라북도,2018,10,40~49세,282641
전라남도,2018,10,40~49세,272384
경상북도,2018,10,40~49세,401044
경상남도,2018,10,40~49세,553439
제주특별자치도,2018,10,40~49세,113734
서울특별시,2018,10,50~59세,1549896
부산광역시,2018,10,50~59세,594861
대구광역시,2018,10,50~59세,431418
인천광역시,2018,10,50~59세,513762
광주광역시,2018,10,50~59세,230636
대전광역시,2018,10,50~59세,242629
울산광역시,2018,10,50~59세,210327
세종특별자치시,2018,10,50~59세,37850
경기도,2018,10,50~59세,2138098
강원도,2018,10,50~59세,271995
충청북도,2018,10,50~59세,270886
충청남도,2018,10,50~59세,337317
전라북도,2018,10,50~59세,304055
전라남도,2018,10,50~59세,319179
경상북도,2018,10,50~59세,467172
경상남도,2018,10,50~59세,578924
제주특별자치도,2018,10,50~59세,108088
서울특별시,2018,10,60~69세,1137171
부산광역시,2018,10,60~69세,485232
대구광역시,2018,10,60~69세,290783
인천광역시,2018,10,60~69세,311279
광주광역시,2018,10,60~69세,144157
대전광역시,2018,10,60~69세,157967
울산광역시,2018,10,60~69세,123311
세종특별자치시,2018,10,60~69세,23771
경기도,2018,10,60~69세,1272047
강원도,2018,10,60~69세,204750
충청북도,2018,10,60~69세,191937
충청남도,2018,10,60~69세,246097
전라북도,2018,10,60~69세,230570
전라남도,2018,10,60~69세,244214
경상북도,2018,10,60~69세,362662
경상남도,2018,10,60~69세,400813
제주특별자치도,2018,10,60~69세,69028
서울특별시,2018,10,70~79세,657455
부산광역시,2018,10,70~79세,271078
대구광역시,2018,10,70~79세,163250
인천광역시,2018,10,70~79세,163344
광주광역시,2018,10,70~79세,86471
대전광역시,2018,10,70~79세,84161
울산광역시,2018,10,70~79세,53280
세종특별자치시,2018,10,70~79세,12427
경기도,2018,10,70~79세,705510
강원도,2018,10,70~79세,136530
충청북도,2018,10,70~79세,118092
충청남도,2018,10,70~79세,163864
전라북도,2018,10,70~79세,162834
전라남도,2018,10,70~79세,192323
경상북도,2018,10,70~79세,234093
경상남도,2018,10,70~79세,232518
제주특별자치도,2018,10,70~79세,43661
서울특별시,2018,10,80~89세,236001
부산광역시,2018,10,80~89세,97307
대구광역시,2018,10,80~89세,66247
인천광역시,2018,10,80~89세,67343
광주광역시,2018,10,80~89세,34560
대전광역시,2018,10,80~89세,35625
울산광역시,2018,10,80~89세,19419
세종특별자치시,2018,10,80~89세,6116
경기도,2018,10,80~89세,295639
강원도,2018,10,80~89세,61596
충청북도,2018,10,80~89세,58136
충청남도,2018,10,80~89세,90663
전라북도,2018,10,80~89세,82663
전라남도,2018,10,80~89세,98127
경상북도,2018,10,80~89세,118971
경상남도,2018,10,80~89세,109961
제주특별자치도,2018,10,80~89세,21193
서울특별시,2018,10,90~99세,35817
부산광역시,2018,10,90~99세,12485
대구광역시,2018,10,90~99세,7703
인천광역시,2018,10,90~99세,10007
광주광역시,2018,10,90~99세,4730
대전광역시,2018,10,90~99세,4941
울산광역시,2018,10,90~99세,2575
세종특별자치시,2018,10,90~99세,870
경기도,2018,10,90~99세,41928
강원도,2018,10,90~99세,9291
충청북도,2018,10,90~99세,7464
충청남도,2018,10,90~99세,11816
전라북도,2018,10,90~99세,11280
전라남도,2018,10,90~99세,12823
경상북도,2018,10,90~99세,15711
경상남도,2018,10,90~99세,13723
제주특별자치도,2018,10,90~99세,3304
서울특별시,2018,10,100세 이상,5792
부산광역시,2018,10,100세 이상,1650
대구광역시,2018,10,100세 이상,628
인천광역시,2018,10,100세 이상,821
광주광역시,2018,10,100세 이상,368
대전광역시,2018,10,100세 이상,319
울산광역시,2018,10,100세 이상,159
세종특별자치시,2018,10,100세 이상,54
경기도,2018,10,100세 이상,3572
강원도,2018,10,100세 이상,714
